Timestamp,Src IP,Dst IP,Src Port,Dst Port,Protocol,Length,Src Packet Count,Dst Packet Count,Src Byte Count,Dst Byte Count,Src Port Count,Dst Port Count,Src Length StdDev,Dst Length StdDev
1736949854.04135,10.59.109.169,239.255.255.250,58102,1900,17,396,2,0,780,0,2,2,8.48528137423857,0.0
1736949854.1780632,10.59.107.232,239.255.255.250,52944,1900,17,217,2,0,434,0,1,2,0.0,0.0
1736949854.407965,10.59.108.55,35.186.224.44,63000,443,6,98,23,0,7440,0,7,1,406.17426505976215,0.0
1736949854.433558,35.186.224.44,10.59.108.55,443,63000,6,66,1,23,66,7440,1,7,0.0,406.17426505976215
1736949854.4351768,35.186.224.44,10.59.108.55,443,63000,6,94,2,23,160,7440,1,7,19.79898987322333,406.17426505976215
1736949854.436277,10.59.108.55,35.186.224.44,63000,443,6,66,24,2,7506,160,7,1,400.7079875724314,19.79898987322333
1736949855.489752,10.59.108.55,17.248.209.130,63314,443,6,129,25,5,7635,1023,7,1,393.98879002665376,126.52391078369338
1736949855.4913201,10.59.108.55,17.248.209.130,63314,443,6,426,26,5,8061,1023,7,1,386.7524769947033,126.52391078369338
1736949855.492175,10.59.108.55,17.248.209.130,63314,443,6,130,27,5,8191,1023,7,1,380.82149544899823,126.52391078369338
1736949855.492876,10.59.108.55,17.248.209.130,63314,443,6,617,28,5,8808,1023,7,1,378.3737549205791,126.52391078369338
1736949855.506952,17.248.209.130,10.59.108.55,443,63314,6,66,6,28,1089,8808,1,7,126.52391078369337,378.3737549205791
1736949855.508265,17.248.209.130,10.59.108.55,443,63314,6,297,7,28,1386,8808,1,7,123.47469376354006,378.3737549205791
1736949855.5090199,10.59.108.55,17.248.209.130,63314,443,6,66,29,7,8874,1386,7,1,374.4118244469775,123.47469376354006
1736949855.50989,17.248.209.130,10.59.108.55,443,63314,6,297,8,29,1683,8874,1,7,119.55385815606287,374.4118244469775
1736949855.510582,10.59.108.55,17.248.209.130,63314,443,6,66,30,8,8940,1683,7,1,370.5000349015759,119.55385815606287
1736949855.511368,10.59.108.55,17.248.209.130,63314,443,6,130,31,8,9070,1683,7,1,365.5202478836203,119.55385815606287
1736949855.5121012,10.59.108.55,17.248.209.130,63314,443,6,459,32,8,9529,1683,7,1,360.777899184973,119.55385815606287
1736949855.521355,17.248.209.130,10.59.108.55,443,63314,6,66,9,32,1749,9529,1,7,121.74768991648259,360.777899184973
1736949855.5222049,17.248.209.130,10.59.108.55,443,63314,6,297,10,32,2046,9529,1,7,119.28788706318844,360.777899184973
1736949855.522964,10.59.108.55,17.248.209.130,63314,443,6,66,33,10,9595,2046,7,1,357.3809268748675,119.28788706318844
1736949856.198435,10.59.107.232,239.255.255.250,52944,1900,17,217,3,0,651,0,1,2,0.0,0.0
1736949856.228114,10.59.108.55,108.177.15.188,64931,5228,6,54,34,0,9649,0,8,1,354.25900295754036,0.0
1736949856.258156,108.177.15.188,10.59.108.55,5228,64931,6,66,1,34,66,9649,1,8,0.0,354.25900295754036
1736949857.701823,10.59.108.55,17.248.209.130,63314,443,6,130,35,10,9779,2046,8,1,349.9772429576462,119.28788706318844
1736949857.703296,10.59.108.55,17.248.209.130,63314,443,6,429,36,10,10208,2046,8,1,345.84128849140734,119.28788706318844
1736949857.704566,10.59.108.55,17.248.209.130,63314,443,6,130,37,10,10338,2046,8,1,341.9372472853477,119.28788706318844
1736949857.705334,10.59.108.55,17.248.209.130,63314,443,6,617,38,10,10955,2046,8,1,341.70201241960433,119.28788706318844
1736949857.7203982,17.248.209.130,10.59.108.55,443,63314,6,66,11,38,2112,10955,1,8,120.6358155772986,341.70201241960433
1736949857.721823,17.248.209.130,10.59.108.55,443,63314,6,297,12,38,2409,10955,1,8,118.948518275765,341.70201241960433
1736949857.722543,17.248.209.130,10.59.108.55,443,63314,6,297,13,38,2706,10955,1,8,116.9713968981635,341.70201241960433
1736949857.723268,10.59.108.55,17.248.209.130,63314,443,6,66,39,13,11021,2706,8,1,339.04957857832983,116.9713968981635
1736949857.7257862,10.59.108.55,17.248.209.130,63314,443,6,130,40,13,11151,2706,8,1,335.54307205652185,116.9713968981635
1736949857.726722,10.59.108.55,17.248.209.130,63314,443,6,458,41,13,11609,2706,8,1,332.50244818464193,116.9713968981635
1736949857.735987,17.248.209.130,10.59.108.55,443,63314,6,66,14,41,2772,11609,1,8,118.63064852402506,332.50244818464193
1736949857.736877,17.248.209.130,10.59.108.55,443,63314,6,297,15,41,3069,11609,1,8,117.13837970537242,332.50244818464193
1736949857.737618,10.59.108.55,17.248.209.130,63314,443,6,66,42,15,11675,3069,8,1,330.1272842549125,117.13837970537242
1736949857.908038,10.59.108.208,239.255.255.250,60624,1900,17,167,1,0,167,0,1,2,0.0,0.0
1736949857.9299572,10.59.108.130,224.0.0.251,5353,5353,17,200,2,0,327,0,1,1,51.61879502661797,0.0
1736949858.04338,10.59.107.203,224.0.0.251,5353,5353,17,103,1,0,103,0,1,1,0.0,0.0
1736949858.627248,10.59.108.55,142.250.184.206,51475,443,6,1466,43,0,13141,0,9,1,373.11182668999766,0.0
1736949858.628504,10.59.108.55,142.250.184.206,51475,443,6,1276,44,0,14417,0,9,1,396.70702347396485,0.0
1736949858.629131,10.59.108.55,142.250.184.206,51475,443,6,105,45,0,14522,0,9,1,393.5751991344696,0.0
1736949858.629795,10.59.108.55,142.250.184.206,51475,443,6,404,46,0,14926,0,9,1,389.362084505209,0.0
1736949858.6422741,142.250.184.206,10.59.108.55,443,51475,6,66,1,46,66,14926,1,9,0.0,389.362084505209
1736949858.646129,142.250.184.206,10.59.108.55,443,51475,6,66,2,46,132,14926,1,9,0.0,389.362084505209
1736949858.647545,142.250.184.206,10.59.108.55,443,51475,6,66,3,46,198,14926,1,9,0.0,389.362084505209
1736949858.649135,142.250.184.206,10.59.108.55,443,51475,6,66,4,46,264,14926,1,9,0.0,389.362084505209
1736949858.6504042,142.250.184.206,10.59.108.55,443,51475,6,105,5,46,369,14926,1,9,17.44133022449836,389.362084505209
1736949858.651264,10.59.108.55,142.250.184.206,51475,443,6,66,47,5,14992,369,9,1,386.9478388261755,17.44133022449836
1736949858.704331,142.250.184.206,10.59.108.55,443,51475,6,615,6,47,984,14992,1,9,221.4940179779129,386.9478388261755
1736949858.706775,142.250.184.206,10.59.108.55,443,51475,6,472,7,47,1456,14992,1,9,233.3130943603466,386.9478388261755
1736949858.707937,142.250.184.206,10.59.108.55,443,51475,6,97,8,47,1553,14992,1,9,219.54201517835128,386.9478388261755
1736949858.709792,142.250.184.206,10.59.108.55,443,51475,6,105,9,47,1658,14992,1,9,207.50046854030097,386.9478388261755
1736949858.710767,10.59.108.55,142.250.184.206,51475,443,6,66,48,9,15058,1658,9,1,384.5467604764183,207.50046854030097
1736949858.711785,10.59.108.55,142.250.184.206,51475,443,6,101,49,9,15159,1658,9,1,381.73134607761943,207.50046854030097
